ናዊ	ና+ዊ
ገበን	ገበ+ን
ሻታት	ሻ+ታት
ስጳኛ	ስ+ጳ+ኛ
ዃኖም	ዃኖ+ም
ዃኑን	ዃኑ+ን
ስፍራ	ስ+ፍራ
ወሃሂ	ወ+ሃሂ
ስፋይ	ስ+ፋይ
ወሃቦ	ወ+ሃቦ
ስፒታ	ስ+ፒታ
ፍትን	ፍት+ን
ስፖር	ስ+ፖር
ወለዲ	ወ+ለዲ
ወለድ	ወ+ለድ
ገናት	ገና+ት
ወልዱ	ወ+ልዱ
ገኖም	ገኖ+ም
ወላዲ	ወ+ላዲ
ዄንካ	ዄን+ካ
ወሓደ	ወ+ሓደ
ወምቲ	ወ+ምቲ
ሶፍት	ሶፍ+ት
ጊቦም	ጊቦ+ም
ፍነት	ፍ+ነት
ወረቐ	ወ+ረቐ
ግሎት	ግሎ+ት
ወርሒ	ወ+ርሒ
ፍናን	ፍና+ን
ወርቂ	ወ+ርቂ
ጌርካ	ጌር+ካ
ጅግን	ጅግ+ን
ወሰነ	ወ+ሰነ
ግመት	ግመ+ት
ወሲድ	ወ+ሲድ
ግምት	ግም+ት
ወሰደ	ወ+ሰደ
ወሲኹ	ወ+ሲኹ
ወሳኒ	ወ+ሳኒ
ወሳኺ	ወ+ሳኺ
ወስድ	ወ+ስድ
ጋቢት	ጋቢ+ት
ግርኛ	ግር+ኛ
ጎልና	ጎል+ና
ጋታት	ጋ+ታት
ቁርሲ	ቁር+ሲ
ወተሃ	ወ+ተሃ
ገዳሲ	ገዳ+ሲ
ወታሃ	ወ+ታሃ
ቃላት	ቃላ+ት
ቃልሲ	ቃል+ሲ
ወትቲ	ወ+ትቲ
ወትሩ	ወ+ትሩ
ወታታ	ወ+ታታ
ወታው	ወ+ታው
ወትና	ወ+ት+ና
ወትካ	ወ+ት+ካ
ግብን	ግብ+ን
ወናኒ	ወ+ናኒ
ወከሲ	ወ+ከ+ሲ
ወከፍ	ወ+ከፍ
ግኣት	ግኣ+ት
ፍጸም	ፍጸ+ም
ውስት	ውስ+ት
ፍጹም	ፍጹ+ም
ሁራት	ሁራ+ት
ፖርት	ፖር+ት
ግዑን	ግዑ+ን
ወድቕ	ወ+ድቕ
ወዳእ	ወ+ዳእ
ቀደም	ቀደ+ም
ግዜና	ግዜ+ና
ወዳደ	ወ+ዳደ
ቀዳም	ቀዳ+ም
ጋጥም	ጋጥ+ም
ወገነ	ወ+ገነ
ወገኑ	ወ+ገኑ
ወገና	ወ+ገ+ና
ወገን	ወ+ገ+ን
ወገኖ	ወ+ገኖ
ቅብኣ	ቅብ+ኣ
ግድን	ግድ+ን
ወግዒ	ወ+ግዒ
ሃርን	ሃር+ን
ውነት	ው+ነት
ጎደና	ጎደ+ና
ቃወም	ቃወ+ም
ውንን	ውን+ን
ህለት	ህለ+ት
ህላዊ	ህላ+ዊ
ግጥም	ግጥ+ም
ወጽእ	ወ+ጽእ
ወጻኢ	ወ+ጻኢ
ህሞት	ህሞ+ት
ግጭት	ግጭ+ት
ህርት	ህር+ት
ዓለም	ዓለ+ም
ዓላት	ዓላ+ት
ዓሌት	ዓሌ+ት
ውዎም	ውዎ+ም
ዓመት	ዓመ+ት
ሃኒት	ሃኒ+ት
ፕዮን	ፕዮ+ን
ዓርኩ	ዓር+ኩ
ውያን	ውያ+ን
ህቦም	ህቦ+ም
ሂወት	ሂወ+ት
ዒቦም	ዒቦ+ም
ቅድም	ቅድ+ም
ዕለት	ዕለ+ት
ለሚካ	ለ+ሚ+ካ
ለሙን	ለ+ሙ+ን
ዕልና	ዕል+ና
ለምና	ለ+ም+ና
ዕማም	ዕማ+ም
ዒትን	ዒት+ን
ለስተ	ለ+ስተ
ሆታት	ሆ+ታት
ዓቢኡ	ዓቢ+ኡ
ዓታት	ዓ+ታት
ዓታዊ	ዓታ+ዊ
ዓትን	ዓት+ን
ሃይም	ሃይ+ም
ውጺኡ	ውጺ+ኡ
ነብሲ	ነብ+ሲ
ለበዋ	ለ+በዋ
ለባት	ለ+ባ+ት
ነቶም	ነቶ+ም
ነታት	ነ+ታት
ኒስት	ኒስ+ት
ነተን	ነተ+ን
ነትን	ነት+ን
ነትካ	ነት+ካ
ዘለና	ዘ+ለ+ና
ለታት	ለ+ታ+ት
ዘለኹ	ዘ+ለኹ
ለቲኮ	ለ+ቲኮ
ዘለኻ	ዘ+ለኻ
ዘለወ	ዘ+ለወ
ዘለዉ	ዘ+ለዉ
ዘለዋ	ዘ+ለዋ
ዘለው	ዘ+ለው
ዘለዎ	ዘ+ለዎ
ዘሎካ	ዘ+ሎ+ካ
ዘመል	ዘ+መል
ዕታት	ዕ+ታት
