የኦነግ	የ+ኦነግ
እንደሚፈቅድ	እንደ+ሚፈቅድ
እንደሚፈተሽ	እንደ+ሚፈተሽ
እንደሚፈቱ	እንደ+ሚ+ፈቱ
እንደሚፈታ	እንደ+ሚፈታ
እንደሚፈታላቸውም	እንደ+ሚ+ፈታላቸው+ም
እንደሚፈታም	እንደ+ሚፈታም
እንደሚፈታቸው	እንደ+ሚ+ፈታቸው
እንደሚፈጅ	እንደ+ሚፈጅ
እንደሚፈጅም	እንደ+ሚፈጅም
እንደሚፈጠሩ	እንደ+ሚ+ፈጠሩ
እንደሚፈጠር	እንደ+ሚፈጠር
እንደሚፈጠርላቸዉ	እንደ+ሚፈጠርላቸዉ
እንደሚፈጠርላቸው	እንደ+ሚ+ፈጠርላቸው
እንደሚፈጠርም	እንደ+ሚ+ፈጠርም
እንደሚፈጥሩ	እንደ+ሚ+ፈጥሩ
እንደሚፈጥርለት	እንደ+ሚ+ፈጥርለት
እንደሚፈጥርላቸዉ	እንደ+ሚፈጥርላቸዉ
እንደሚፈጥርላቸው	እንደ+ሚ+ፈጥርላቸው
እንደሚፈጥርም	እንደ+ሚ+ፈጥርም
እንደሚፈጥርና	እንደ+ሚ+ፈጥርና
እንደሚፈጸም	እንደ+ሚፈጸም
እንደሚፈጸምባቸው	እንደ+ሚ+ፈጸምባቸው
እንደሚፈጽሙ	እንደ+ሚ+ፈጽሙ
እንደሚፈፀም	እንደ+ሚፈፀም
እንደሚፈፀምም	እንደ+ሚ+ፈፀምም
እንደሚፋፋም	እንደ+ሚፋፋም
እንደማሪያም	እን+ደማሪያም
እንደማስረጃ	እንደ+ማስረጃ
እንደማስበው	እንደ+ማስ+በው
እንደማስገባት	እንደ+ማስ+ገባት
እንደማሻሽል	እንደ+ማሻሽ+ል
እንደማሽላ	እንደ+ማሽላ
እንደማትችል	እንደ+ማትችል
እንደማትከለከል	እንደ+ማትከለከል
እንደማትከተል	እንደ+ማትከተል
እንደማትገታም	እንደ+ማት+ገታም
እንደማትፈርስ	እንደ+ማትፈር+ስ
እንደማንችል	እንደ+ማንችል
እንደማንኛውም	እንደ+ማን+ኛ+ውም
እንደማክበር	እንደ+ማክ+በር
እንደማውቀው	እንደ+ማው+ቀው
እንደማያመለክት	እንደ+ማያ+መለክት
እንደማያምን	እንደ+ማያም+ን
እንደማያሳድር	እንደ+ማያ+ሳድር
እንደማያስከትል	እንደ+ማያስከት+ል
እንደማያስደፍር	እንደ+ማያስደፍ+ር
እንደማያስፈልግ	እንደ+ማያስፈል+ግ
እንደማያሻማም	እንደ+ማያ+ሻማ+ም
እንደማያቋርጥ	እንደ+ማያ+ቋርጥ
እንደማያካትት	እንደ+ማያ+ካትት
እንደማያውቅ	እንደ+ማያው+ቅ
እንደማያደርስ	እንደ+ማያ+ደርስ
እንደማያደርግ	እንደ+ማያ+ደርግ
እንደማያዳግት	እንደ+ማያ+ዳግት
እንደማያድን	እንደ+ማያ+ድን
እንደማያገኝ	እንደ+ማያ+ገኝ
እንደማያጠራጥር	እንደ+ማያ+ጠራጥር
እንደማይለይ	እንደ+ማይ+ለይ
እንደማይቀንስ	እንደ+ማይቀን+ስ
እንደማይቀጥል	እንደ+ማይቀጥ+ል
እንደማይበልጥ	እንደ+ማይበል+ጥ
እንደማይታይ	እንደ+ማይ+ታይ
እንደማይታይም	እንደ+ማይ+ታይ+ም
እንደማይችል	እንደ+ማይች+ል
እንደማይክድ	እንደ+ማይክ+ድ
እንደማይወክል	እንደ+ማይወክ+ል
እንደማይውል	እንደ+ማይው+ል
እንደማይያያዝ	እንደ+ማይ+ያያዝ
እንደማይደርስ	እንደ+ማይደር+ስ
እንደማይደግፍ	እንደ+ማይደግ+ፍ
እንደማይጠቅም	እንደ+ማይጠቅ+ም
እንደማይጠብቅ	እንደ+ማይጠብ+ቅ
እንደማይጣጣም	እንደ+ማይጣ+ጣም
እንደማይጨምር	እንደ+ማይጨም+ር
እንደማይፈልግ	እንደ+ማይፈል+ግ
እንደማይፈቅድ	እንደ+ማይፈቅ+ድ
እንደማይፈይዱ	እንደ+ማይ+ፈይ+ዱ
እንደማይፈጥር	እንደ+ማይፈጥ+ር
እንደማጓጉዝ	እንደ+ማጓ+ጉዝ
እንደማፍረስ	እንደ+ማፍ+ረስ
እንደምሆን	እንደ+ምሆን
እንደምመርጥ	እንደ+ምመርጥ
እንደምሥራቁ	እንደ+ምሥራ+ቁ
እንደምርጥ	እንደ+ምርጥ
እንደምርጫ	እንደ+ም+ርጫ
እንደምሰራ	እንደ+ምሰራ
እንደምሳሌ	እንደ+ምሳሌ
እንደምተቀጥል	እንደ+ምተቀጥል
እንደምተገኝ	እንደ+ምተገኝ
እንደምታሳካ	እንደ+ም+ታሳካ
እንደምታስብ	እንደ+ምታስብ
እንደምታስተምር	እንደ+ምታስተምር
እንደምታስተናግድ	እንደ+ምታስተናግድ
እንደምታስከብር	እንደ+ምታስከብር
እንደምታስወጣ	እንደ+ምታስወጣ
እንደምታስገነባ	እንደ+ም+ታስገነባ
እንደምታስጎበኝ	እንደ+ምታስጎበኝ
እንደምታቆም	እንደ+ምታቆም
እንደምታበረታታና	እንደ+ም+ታበረታታና
እንደምታንቀሳቅስ	እንደ+ምታንቀሳቅስ
እንደምታከብርና	እንደ+ም+ታከብርና
እንደምታወግዝና	እንደ+ም+ታወግዝና
እንደምታውል	እንደ+ምታውል
እንደምታውቀው	እንደ+ም+ታውቀው
እንደምታውቁት	እንደ+ም+ታውቁት
እንደምታውቋቸው	እንደ+ም+ታውቋቸው
እንደምታዘጋጅም	እንደ+ም+ታዘጋጅም
እንደምታየው	እንደ+ም+ታየው
እንደምታደርስ	እንደ+ምታደርስ
እንደምታደርገው	እንደ+ም+ታደርገው
እንደምታደርግ	እንደ+ምታደርግ
እንደምታደርግም	እንደ+ም+ታደርግም
እንደምታገለግል	እንደ+ምታገለግል
እንደምታገኝ	እንደ+ምታገኝ
እንደምታግዛቸው	እንደ+ም+ታግዛቸው
እንደምታጠናክር	እንደ+ምታጠናክር
እንደምታጣ	እንደ+ምታጣ
እንደምታጸድቅ	እንደ+ምታጸድቅ
እንደምትሆን	እንደ+ምትሆን
እንደምትሆንም	እንደ+ም+ትሆንም
እንደምትሆንና	እንደ+ም+ትሆንና
እንደምትለውም	እንደ+ም+ት+ለውም
እንደምትለው	እንደ+ም+ትለው
እምቦጭና	እምቦጭ+ና
እንደምትልካቸው	እንደ+ም+ትልካቸው
እንደምትልክ	እንደ+ምትልክ
እንደምትመጣ	እንደ+ም+ትመጣ
እንደምትሞቅ	እንደ+ምትሞቅ
እንደምትረከብ	እንደ+ምትረከብ
እንደምትሰራ	እንደ+ምትሰራ
እንደምትሰራም	እንደ+ምትሰራም
እንደምትሰራና	እንደ+ም+ትሰራና
እንደምትሰጥ	እንደ+ምትሰጥ
እንደምትስማሙ	እንደ+ም+ትስማሙ
እንደምትሸጥ	እንደ+ምትሸጥ
እንደምትሻ	እንደ+ምትሻ
እንደምትቀል	እንደ+ምትቀል
እንደምትቀርብም	እንደ+ም+ትቀርብም
እንደምትቀበል	እንደ+ምትቀበል
እንደምትቀንስ	እንደ+ምትቀንስ
እንደምትቀድና	እንደ+ም+ትቀድና
እንደምትቀጠልም	እንደ+ም+ትቀጠልም
እንደምትቀጥል	እንደ+ምትቀጥል
እንደምትቀጥልም	እንደ+ም+ትቀጥልም
እንደምትቀጥልበት	እንደ+ም+ትቀጥልበት
እንደምትቃወም	እንደ+ምትቃወም
እንደምትቆም	እንደ+ምትቆም
እንደምትቆይ	እንደ+ምትቆይ
እንደምትተገብር	እንደ+ምትተገብር
እንደምትችል	እንደ+ምትችል
እንደምትችልም	እንደ+ም+ትችልም
እንደምትችዪውን	እንደ+ምትችዪውን
እንደምትናገረው	እንደ+ም+ትናገረው
እንደምትናፍቀኝ	እንደ+ም+ትናፍቀኝ
እንደምትንቀሳቀስና	እንደ+ም+ትንቀሳቀስና
እንደምትኖር	እንደ+ምትኖር
እንደምትከላከል	እንደ+ምትከላከል
እንደምትወስድ	እንደ+ምትወስድ
እንደምትወጣም	እንደ+ምትወጣም
እንደምትዋጋ	እንደ+ም+ትዋጋ
እንደምትውለበለብ	እንደ+ምትውለበለብ
እንደምትደርስ	እንደ+ምትደርስ
እንደምትደግፍ	እንደ+ምትደግፍ
እንደምትዳረግ	እንደ+ምትዳረግ
እንደምትዳርግ	እንደ+ምትዳርግ
እንደምትገባ	እንደ+ምትገባ
እንደምትገኝ	እንደ+ምትገኝ
እንደምትገኝም	እንደ+ም+ትገኝም
እንደምትገኝና	እንደ+ም+ትገኝና
እንደምትጋራ	እንደ+ምትጋራ
እንደምትጠቀም	እንደ+ምትጠቀም
እንደምትጠቀምና	እንደ+ም+ትጠቀምና
እንደምትጠቀስ	እንደ+ምትጠቀስ
እንደምትጥቀል	እንደ+ምትጥቀል
እንደምትጫወትም	እንደ+ም+ትጫወትም
እንደምትፈልግ	እንደ+ምትፈልግ
እንደምትፈልግም	እንደ+ም+ትፈልግም
እንደምትፈርምም	እንደ+ምትፈርምም
እንደምቹ	እንደ+ምቹ
እንደምናሳካ	እንደ+ም+ናሳካ
እንደምናሸንፈው	እንደ+ም+ናሸንፈው
እንደምናውቀው	እንደ+ም+ናውቀው
እንደምናዘነብል	እንደ+ም+ናዘነብል
እንደምናዝነው	እንደ+ም+ናዝነው
እንደምናየው	እንደ+ም+ናየው
እንደምናደርሰውም	እንደ+ም+ናደርሰው+ም
እንደምናገኝ	እንደ+ምናገኝ
እንደምን	እንደ+ም+ን
እንደምንለው	እንደ+ም+ንለው
እንደምንም	እንደ+ምን+ም
እንደምንረባረብና	እንደ+ም+ንረባረብና
እንደምንራመድ	እንደ+ምንራመድ
እንደምንሰራ	እንደ+ምንሰራ
እንደምንቀጥል	እንደ+ምንቀጥል
እንደምንቆም	እንደ+ምንቆም
እንደምንቆይ	እንደ+ምንቆይ
እንደምንችል	እንደ+ምንችል
እንደምንኮራው	እንደ+ም+ንኮራው
እንደምንወቅሰውና	እንደ+ም+ንወቅሰው+ና
እንደምንወድ	እንደ+ምንወድ
እንደምንወጣና	እንደ+ም+ንወጣና
እንደምንገምታት	እንደ+ም+ንገምታት
እንደምክንያት	እንደ+ምክንያት
እንደምክንያትነት	እንደ+ምክንያት+ነት
እንደምወድህ	እንደ+ም+ወድህ
እንደምዕራባውያን	እንደ+ምዕራባውያን
እንደምጠብቀው	እንደ+ም+ጠብቀው
እንደሠራ	እንደ+ሠራ
እንደሠራችበት	እንደ+ሠራች+በት
እንደራሱ	እንደ+ራሱ
እንደራሳቸው	እንደ+ራ+ሳቸው
እንደራሴ	እንደ+ራሴ
እንደራሴው	እንደ+ራሴ+ው
እንደራሴዎች	እንደራሴ+ዎች
እንደራደር	እን+ደራደር
እንደሰሚሰሩ	እንደ+ሰሚ+ሰሩ
እንደሰማሁ	እንደ+ሰማሁ
እንደሰማሁት	እንደ+ሰማሁ+ት
እንደሰራ	እንደ+ሰራ
እንደሰው	እንደ+ሰው
እንደሰጥ	እንደ+ሰጥ
እንደሰፈርን	እንደ+ሰፈር+ን
እንደሰፍን	እንደ+ሰፍን
እንደሳቸው	እንደ+ሳቸው
እንደሳውዲ	እንደ+ሳውዲ
እንደስሙ	እንደ+ስ+ሙ
እንደሸክም	እንደ+ሸክም
እንደሽንፈት	እንደ+ሽ+ንፈት
ፈገግታህን	ፈገግ+ታህን
እንደቀልድ	እንደ+ቀልድ
እንደቀደምት	እንደ+ቀደም+ት
እንደቀድሞ	እንደ+ቀድ+ሞ
እንደቀድሞው	እንደ+ቀድ+ሞው
እንደቅርብ	እንደ+ቅርብ
እንደቅርጫ	እንደ+ቅርጫ
እንደቅደም	እንደ+ቅደም
እንደቅጠል	እንደ+ቅጠል
እንደቆምኩኝ	እንደ+ቆም+ኩኝ
እንደቈስሉ	እንደ+ቈስ+ሉ
እንደበር	እንደ+በር
እንደበነር	እንደ+በነር
እንደባህል	እንደ+ባህል
እንደባሕላዊ	እንደ+ባሕ+ላዊ
እንደቤተመጻሕፍቱ	እንደ+ቤተ+መጻሕፍቱ
እንደቤተሰብ	እንደ+ቤተሰብ
እንደብረት	እንደ+ብረት
እንደብርቅ	እንደ+ብርቅ
እንደብርቱካን	እንደ+ብርቱካን
እንደብዙዎቹ	እንደ+ብ+ዙዎቹ
እንደተስማማች	እንደ+ተስ+ማማች
እንደተስተዋለው	እንደ+ተስ+ተ+ዋለው
እንደተስተዋሉበት	እንደ+ተስ+ተ+ዋሉበት
እንደተስተዋሉበትም	እንደ+ተስ+ተ+ዋሉበት+ም
እንደተቀሉ	እንደ+ተቀሉ
እንደተቀማ	እንደ+ተቀ+ማ
እንደተናረገው	እንደ+ተናረገው
እንደተናሩት፤	እንደ+ተናሩት፤
እንደተናት	እንደ+ተናት
እንደተናገሩተ	እንደ+ተ+ናገሩተ
እንደተው	እንደ+ተው
እንደተገሰሰና	እንደ+ተገሰሰ+ና
እንደተገባ	እንደ+ተገባ
እንደተገጸው	እንደ+ተገጸው
እንደተጠቀሰው	እንደ+ተ+ጠቀሰው
እንደተጠቁ	እንደ+ተጠቁ
እንደተጠቃ	እንደ+ተጠቃ
እንደታዘብነው	እንደ+ታዘብ+ነው
እንደታዘብውም	እንደ+ታዘብ+ው+ም
እንደትላንቱ	እንደ+ትላን+ቱ
እንደትልቅ	እንደ+ትልቅ
እንደትምጠብቅ	እንደ+ትም+ጠብቅ
እንደትስብ	እንደ+ትስብ
እንደትችል	እንደ+ትች+ል
እንደትናንቱ	እንደ+ትናን+ቱ
እንደትንሽ	እንደ+ትንሽ
እንደትጥቅ	እንደ+ትጥቅ
እንደቻልነው	እንደ+ቻል+ነው
እንደኋላ	እንደ+ኋላ
እንደነበር	እንደ+ነበር
እንደነሣች	እንደ+ነሣች
እንደነር	እንደ+ነር
እንደነሱ	እንደ+ነሱ
እንደነበረዉ	እንደ+ነበረዉ
እኛና	እኛ+ና
እንደነበራቸው	እንደ+ነበራቸው
እንደነበራቸውና	እንደ+ነበራቸው+ና
እንደነበርም	እንደ+ነበር+ም
እንደነበርና	እንደ+ነበር+ና
እንደነበርን	እንደ+ነበር+ን
እንደነበር፤	እንደ+ነበር፤
እንደነአልበርቶነና	እንደ+ነአልበርቶነና
እንደነውር	እንደ+ነውር
እንደነዛው	እንደ+ነዛ+ው
እንደነዱ	እንደ+ነ+ዱ
እንደነጄኔራል	እንደ+ነጄኔራል
እንደነገረችው	እንደ+ነገረችው
እንደነገረዎ	እንደ+ነገረዎ
እንደነገሩኝ	እንደ+ነገሩኝ
እንደነገርሁት	እንደ+ነገርሁት
እንደነፍሳት	እንደ+ነፍ+ሳት
እንደናደ	እንደ+ናደ
እንደንጉሠ-ነገሥት	እንደ+ን+ጉሠ-ነገሥት
እንደኛ	እንደ+ኛ
እንደአምበጣ	እንደ+አምበጣ
እንደአሽን	እንደ+አሽን
እንደአቅም	እንደ+አቅም
እንደአንበሳነብርና	እንደ+አንበሳነብር+ና
እንደአንድ	እንደ+አንድ
እንደአውሮፓውያኑ	እንደ+አውሮፓ+ውያኑ
እንደአየር	እንደ+አየር
እንደአዲስ	እንደ+አዲስ
እንደአድዋው	እንደ+አድዋ+ው
እንደአጀሉት	እንደ+አጀሉት
እንደአገር	እንደ+አገር
እንደአጋሮቻቸው	እንደ+አጋ+ሮቻቸው
እንደአፄ	እንደ+አፄ
እንደኢትዮጵያ	እንደ+ኢትዮጵያ
እንደኢትዮጵያዊነቴ	እንደ+ኢትዮጵያ+ዊነቴ
እንደእናት	እንደ+እናት
እንደእውነቱ	እንደ+እውነ+ቱ
እንደእውነት	እንደ+እውነት
እንደከብት	እንደ+ከብት
እንደከተታቸው	እንደ+ከ+ተታቸው
እንደካንሰር	እንደ+ካንሰር
እንደክልል	እንደ+ክልል
እንደክማለን	እንደ+ክማለን
የአባቶች	የ+አባ+ቶች
እንደወርቅ	እንደ+ወርቅ
እንደወትሮ	እንደ+ወትሮ
እንደወትሮው	እንደ+ወትሮ+ው
እንደወንጀሉ	እንደ+ወን+ጀሉ
እንደወጣ	እንደ+ወጣ
እንደወፍ	እንደ+ወፍ
እንደዉም	እንደ+ዉ+ም
እንደዋርካ	እንደ+ዋርካ
እንደዋስትና	እንደ+ዋስትና
እንደዋና	እንደ+ዋና
እንደዋዛ	እንደ+ዋዛ
እንደውል	እንደ+ውል
እንደውም	እንደ+ው+ም
እንደውርደት	እንደ+ውር+ደት
እንደዓይናቸው	እንደ+ዓይ+ናቸው
እንደዘገበው፤	እንደ+ዘገበው፤
እንደዘጋች	እንደ+ዘጋች
እንደዚሁ	እንደ+ዚ+ሁ
እንደዚያ	እንደ+ዚያ
እንደዚያው	እንደ+ዚያ+ው
እንደዛሬዉ	እንደ+ዛሬዉ
እንደዜጋ	እንደ+ዜጋ
እንደዜጋም	እንደ+ዜጋ+ም
እንደየ	እንደ+የ
እንደየቅደም	እንደ+የቅ+ደም
እንደየአካባቢያቸው	እንደ+የአ+ካባቢያቸው
እንደያደርጉ	እንደ+ያ+ደርጉ
እንደያደርግም	እንደ+ያ+ደርግም
እንደያገኙ	እንደ+ያ+ገኙ
እንደደሚገኙ	እንደ+ደ+ሚገኙ
እንደደረሳቸውና	እንደ+ደረሳቸው+ና
ስለክብራቸው	ስለ+ክ+ብራቸው
እንደደረሳቸው፤	እንደ+ደረሳቸው፤
እንደደረስው	እንደ+ደረስ+ው
እንደደርሰበት	እንደ+ደር+ሰበት
እንደዱላ	እንደ+ዱላ
እንደዲቀጥሉ	እንደ+ዲ+ቀጥሉ
እንደዳግማዊ	እንደ+ዳግ+ማዊ
እንደድርጅቱ	እንደ+ድ+ርጅቱ
እንደድሮው	እንደ+ድሮ+ው
እንደጀመርነው	እንደ+ጀመር+ነው
እንደጀግንነት	እንደ+ጀግ+ንነት
እንደገለጠዉ	እንደ+ገለጠዉ
እንደገለጡትበጎንደር	እንደ+ገለጡትበጎንደር
እንደገለጹልን	እንደ+ገለጹል+ን
እንደገለጹትለመጀመሪያ	እንደ+ገለጹትለ+መጀመሪያ
እንደገለጹትወጣቶቹ	እንደ+ገለጹትወጣ+ቶቹ
እንደገለጹት፥	እንደ+ገለጹት፥
እንደገለጹትእጅግ	እንደ+ገለጹትእጅግ
እንደገለፀው፤	እንደ+ገለፀው፤
እንደገለፀው፥	እንደ+ገለፀው፥
እንደገለፁልን	እንደ+ገለፁል+ን
እንደገለፁት፤	እንደ+ገለፁት፤
እንደገለፁት፤አዲሱ	እንደ+ገለፁት፤+አዲሱ
እንደገለፁት፤ከሰሀራ	እንደ+ገለፁት፤ከሰሀራ
እንደገለፁት፥	እንደ+ገለፁት፥
እንደገለፅነው	እንደ+ገለፅ+ነው
እንደገባ	እንደ+ገባ
እንደገባች	እንደ+ገባች
እንደገነት	እንደ+ገነት
እንደገናም	እንደ+ገና+ም
ከፈረስህ	ከ+ፈረስ+ህ
እንደገጡት	እንደ+ገጡት
እንደገጹት	እንደ+ገጹት
እንደጋዳፊ	እንደ+ጋዳፊ
እንደግብአት	እንደ+ግ+ብአት
እንደግዛቱ	እንደ+ግ+ዛቱ
እንደግፋቸው	እንደ+ግ+ፋቸው
እንደጓጉ	እንደ+ጓ+ጉ
እንደጠቀማቸው	እንደ+ጠቀማቸው
እንደጠቃነታቸው	እንደ+ጠቃነ+ታቸው
እንደጠቅላይ	እንደ+ጠቅላይ
እንደጠበቅን	እንደ+ጠበቅ+ን
እንደጠፋችልን	እንደ+ጠፋች+ልን
እንደጥንቱ	እንደ+ጥን+ቱ
እንደጥፋተኛ	እንደ+ጥ+ፋተኛ
እንደጨረስኩ	እንደ+ጨረስ+ኩ
እንደጭድ	እንደ+ጭድ
እንደፈለገ	እን+ደፈለገ
እንደፈለገው	እን+ደፈለገው
እንደፈለጉት	እን+ደፈለጉት
እንደፈለጋቸው	እን+ደፈለጋቸው
እንደፈለጋችሁ	እን+ደፈለጋችሁ
እንደፈረንጆች	እንደ+ፈረን+ጆች
እንደፈጠር	እንደ+ፈጠር
እንደፋበታለን	እንደ+ፋበታለን
እንደፋና	እንደ+ፋና
እንደፍ	እንደ+ፍ
እንደፍላጎታቸውና	እንደ+ፍ+ላጎታቸው+ና
እንደፍልፈል	እንደ+ፍልፈል
እንደፍየል	እንደ+ፍየል
እንደፎቶግራፍ	እንደ+ፎቶግራፍ
እንዱሁም	እን+ዱሁም
እንዱስትሪና	እንዱስትሪ+ና
እንዱስትሪው	እንዱስትሪ+ው
እንዱስትሪዎች	እንዱስትሪ+ዎች
እንዱስትሪዎችን	እንዱስትሪ+ዎችን
እንዱይመለከታት	እን+ዱይ+መለከታት
እንዲ-ሁ-ም	እንዲ+-ሁ+-ም
እንዲ-ሆን-ም	እንዲ+-+ሆን-ም
እንዲ-ላቀቁ	እንዲ+-+ላቀቁ
እንዲ-መክር	እንዲ+-መክር
እንዲ-መዘገብ	እንዲ+-መዘገብ
እንዲ-ሰር-ኡ	እንዲ+-+ሰር-ኡ
እንዲ-ሰር-ኣ	እንዲ+-+ሰር-ኣ
እንዲ-ሰየም	እንዲ+-ሰየም
እንዲ-ሸጋገር	እንዲ+-ሸጋገር
እንዲ-ቀላቀል	እንዲ+-ቀላቀል
እንዲ-ቀንስ	እንዲ+-ቀንስ
እንዲ-ቀጥል	እንዲ+-ቀጥል
እንዲ-ከበር	እንዲ+-ከበር
እንዲ-ካ-ሄድ	እንዲ+-+ካ-ሄድ
እንዲ-ወጣ	እንዲ+-ወጣ
እንዲ-ወጥ-ኡ	እንዲ+-+ወጥ-ኡ
እንዲ-ዘጋጅ	እንዲ+-ዘጋጅ
እንዲ-ያ-ከብር-ኡ	እንዲ+-+ያ-ከብር-ኡ
እንዲ-ያ-ከናውን	እንዲ+-ያ-ከናውን
እንዲ-ያ-ዘጋጅ-ኡ-ና	እንዲ+-+ያ-ዘጋጅ-ኡ+-ና
እንዲ-ያ-ደርግ-ኡ	እንዲ+-+ያ-ደርግ-ኡ
እንዲ-ያካ-ሂድ	እንዲ+-ያካ-ሂድ
እንዲ-ይ-አጠን-ኣ	እንዲ+-+ይ+-አጠን-ኣ
እንዲ-ደርስ፥	እንዲ+-ደርስ፥
እንዲ-ጠን-ኡ	እንዲ+-ጠን+-ኡ
እንዲሁ-ም	እንዲሁ+-ም
የሁላቸውን	የ+ሁ+ላቸውን
እንዲሁምምክትል	እንዲ+ሁምምክትል
እንዲሁምከልዩ	እንዲ+ሁምከል+ዩ
እንዲሁም፥	እንዲ+ሁም፥
እንዲሁም•	እንዲ+ሁ+ም•
እንዲሄድ	እንዲ+ሄድ
እንዲሄድና	እንዲ+ሄድ+ና
እንዲህም	እንዲህ+ም
እንዲሆኑየትምህርት	እንዲ+ሆኑየትምህርት
እንዲሆንለት	እንዲ+ሆን+ለት
እንዲሆንላቸው	እንዲ+ሆን+ላቸው
እንዲሆንላችሁ	እንዲ+ሆን+ላችሁ
እንዲሆንልን	እንዲ+ሆንልን
እንዲሆንም	እንዲ+ሆን+ም
እንዲሆንና	እንዲ+ሆን+ና
እንዲለመልም	እንዲ+ለመልም
እንዲለመድ	እንዲ+ለመድ
እንዲለምዱ	እንዲ+ለም+ዱ
እንዲለምድ	እንዲ+ለምድ
እንዲለሰልስ	እንዲ+ለሰልስ
እንዲለቀቅ	እንዲ+ለቀቅ
እንዲለቀቅላቸው	እንዲ+ለቀቅ+ላቸው
እንዲለቁልን	እንዲ+ለቁል+ን
እንዲለቅ	እንዲ+ለቅ
እንዲለብስ	እንዲ+ለብስ
እንዲለወጥ	እንዲ+ለወጥ
እንዲለውጥ	እንዲ+ለውጥ
እንዲለውጥና	እንዲ+ለው+ጥና
እንዲለግሱ	እንዲ+ለግ+ሱ
እንዲለግሳቸው	እንዲ+ለግሳቸው
እንዲላመድ	እንዲ+ላመድ
እንዲላቀቅ	እንዲ+ላቀቅ
እንዲላበስ	እንዲ+ላበስ
እንዲላክ	እንዲ+ላክ
እንዲላክለት	እንዲ+ላክ+ለት
እንዲላክላቸው	እንዲ+ላክ+ላቸው
እንዲላክልቸው	እንዲ+ላክልቸው
እንዲል	እንዲ+ል
እንዲልላቸው	እንዲል+ላቸው
እንዲልኩ	እንዲ+ል+ኩ
እንዲልኩላቸው	እንዲ+ል+ኩላቸው
እንዲልክ	እንዲ+ልክ
እንዲልክና	እንዲ+ል+ክና
የሻይቱ	የ+ሻይቱ
እንዲመለስ	እንዲ+መለስ
እንዲመለስላቸው	እንዲ+መለስ+ላቸው
እንዲመለስም	እንዲ+መለስ+ም
እንዲመለስና	እንዲ+መለስ+ና
እንዲመልሱ	እንዲ+መል+ሱ
እንዲመልስሱ	እንዲ+መልስሱ
እንዲመሠረት	እንዲ+መሠረት
እንዲመሠርቱ	እንዲ+መሠር+ቱ
እንዲመረምር	እንዲ+መረምር
እንዲመረት	እንዲ+መረት
እንዲመራ	እንዲ+መራ
እንዲመራመር	እንዲ+መራመር
እንዲመራም	እንዲ+መራም
እንዲመርጡ	እንዲ+መር+ጡ
እንዲመርጥ	እንዲ+መርጥ
እንዲመርጥም	እንዲ+መር+ጥም
እንዲመሰረት	እንዲ+መሰረት
እንዲመሰረትባቸው	እንዲ+መሰረት+ባቸው
እንዲመሰረትና	እንዲ+መሰረት+ና
እንዲመሰርቱ	እንዲ+መሰር+ቱ
እንዲመሳሰል	እንዲ+መሳሰል
እንዲመሽጉ	እንዲ+መሽ+ጉ
እንዲመቻች	እንዲ+መቻች
እንዲመቻችላቸው	እንዲ+መቻች+ላቸው
እንዲመች	እንዲ+መች
እንዲመነዘርና	እንዲ+መነዘር+ና
እንዲመከር	እንዲ+መከር
እንዲመክሩ	እንዲ+መክ+ሩ
እንዲመክር	እንዲ+መክር
እንዲመክርበትና	እንዲ+መክ+ርበት+ና
እንዲመክቱ	እንዲ+መክ+ቱ
እንዲመዘገብ	እንዲ+መዘገብ
እንዲመዘገብና	እንዲ+መዘገብ+ና
እንዲመዘግብ	እንዲ+መዘግብ
እንዲመጥን	እንዲ+መጥን
እንዲሚመቻችላቸውም	እንዲ+ሚ+መቻችላቸው+ም
እንዲማላለት	እንዲ+ማ+ላለት
እንዲማር	እንዲ+ማር
እንዲማርበት	እንዲ+ማር+በት
እንዲማርበትና	እንዲ+ማር+በት+ና
እንዲማርና	እንዲ+ማር+ና
እንዲማር፤	እንዲ+ማር፤
እንዲማቅቅ	እንዲ+ማቅቅ
እንዲሞቅ	እንዲ+ሞቅ
እንዲሞት	እንዲ+ሞት
እንዲሠሩ፤	እንዲ+ሠሩ፤
እንዲሠራ	እንዲ+ሠራ
እንዲሠራጭ	እንዲ+ሠራጭ
እንዲሠድ	እንዲ+ሠድ
እንዲሠጥ	እንዲ+ሠጥ
እንዲሠፍን	እንዲ+ሠፍን
እንዲሣተፍ	እንዲ+ሣተፍ
እንዲሣተፍም	እንዲ+ሣተፍ+ም
እንዲረባረብ	እንዲ+ረባረብ
እንዲረባረብም	እንዲ+ረባረብ+ም
እንዲረከብ	እንዲ+ረከብ
እንዲረዳ	እንዲ+ረዳ
እንዲረዳም	እንዲ+ረዳም
እንዲረዳቸውከክርክሩ	እንዲ+ረዳቸውከ+ክርክሩ
እንዲረጋገጥ	እንዲ+ረጋገጥ
እንዲረጋገጥና	እንዲ+ረጋገጥ+ና
እንዲረጋጋጥ	እንዲ+ረጋጋጥ
እንዲሩ	እንዲ+ሩ
እንዲራመድ	እንዲ+ራመድ
እንዲራመድና	እንዲ+ራመድ+ና
እንዲራራቅ	እንዲ+ራራቅ
እንዲራዘም	እንዲ+ራዘም
እንዲራዘምለት	እንዲ+ራዘም+ለት
እንዲራገፍ	እንዲ+ራገፍ
እንዲሯሯጥ	እንዲ+ሯሯጥ
እንዲሰለጥኑ	እንዲ+ሰለጥ+ኑ
